datapoint_id	word	sense	metaphor	pos	definition
selected.0	acquired	get.v.01		verb	[get; acquire] come into the possession of something concrete or abstract (She got a lot of paintings from her uncle | They acquired a new pet | Get your results the next day | Get permission to take a few days off from work)
selected.1	acquired	assume.v.03	1	verb	[assume; acquire; adopt; take_on; take] take on a certain form, attribute, or aspect (His voice took on a sad tone | The story took a new turn | he adopted an air of superiority | She assumed strange manners | The gods assume human or animal form in these fables)
selected.2	acquired	grow.v.08	1	verb	[grow; develop; produce; get; acquire] come to have or undergo a change of (physical features and attributes) (He grew a beard | The patient developed abdominal pains | I got funny spots all over my body | Well-developed breasts)
selected.3	acquired	acquire.v.04	1	verb	[acquire] locate (a moving entity) by means of a tracking system such as radar ()
selected.4	acquired	acquire.v.05	1	verb	[acquire; win; gain] win something through one's efforts (I acquired a passing knowledge of Chinese | Gain an understanding of international finance)
selected.5	acquired	learn.v.01	1	verb	[learn; larn; acquire] gain knowledge or skills (She learned dancing from her sister | I learned Sanskrit | Children acquire language at an amazing rate)
selected.6	acquired	develop.v.03	1	verb	[develop; acquire; evolve] gain through experience (I acquired a strong aversion to television | Children must develop a sense of right and wrong | Dave developed leadership qualities in his new position | develop a passion for painting)
selected.7	acquired	acquired.s.01	1	adj	[acquired] gotten through environmental forces (acquired characteristics (such as a suntan or a broken nose) cannot be passed on)
selected.8	adopted	adopt.v.01	1	verb	[adopt; follow; espouse] choose and follow; as of theories, ideas, policies, strategies or plans (She followed the feminist movement | The candidate espouses Republican ideals)
selected.9	adopted	adopt.v.02	1	verb	[adopt; borrow; take_over; take_up] take up and practice as one's own ()
selected.10	adopted	assume.v.02	1	verb	[assume; adopt; take_on; take_over] take on titles, offices, duties, responsibilities (When will the new President assume office?)
selected.11	adopted	assume.v.03	1	verb	[assume; acquire; adopt; take_on; take] take on a certain form, attribute, or aspect (His voice took on a sad tone | The story took a new turn | he adopted an air of superiority | She assumed strange manners | The gods assume human or animal form in these fables)
selected.12	adopted	adopt.v.05	0	verb	[adopt; take_in] take into one's family (They adopted two children from Nicaragua)
selected.13	adopted	dramatize.v.01	1	verb	[dramatize; dramatise; adopt] put into dramatic form (adopt a book for a screenplay)
selected.14	adopted	espouse.v.03	1	verb	[espouse; embrace; adopt; sweep_up] take up the cause, ideology, practice, method, of someone and use it as one's own (She embraced Catholicism | They adopted the Jewish faith)
selected.15	adopted	adopted.a.01	1	adj	[adopted; adoptive] acquired as your own by free choice (my adopted state | an adoptive country)
selected.16	agree	agree.v.01	0	verb	[agree; hold; concur; concord] be in accord; be in agreement (We agreed on the terms of the settlement | I can't agree with you! | I hold with those who say life is sacred | Both philosophers concord on this point)
selected.17	agree	agree.v.02	0	verb	[agree] consent or assent to a condition, or agree to do something (She agreed to all my conditions | He agreed to leave her alone)
selected.18	agree	match.v.01	1	verb	[match; fit; correspond; check; jibe; gibe; tally; agree] be compatible, similar or consistent; coincide in their characteristics (The two stories don't agree in many details | The handwriting checks with the signature on the check | The suspect's fingerprints don't match those on the gun)
selected.19	agree	harmonize.v.01	1	verb	[harmonize; harmonise; consort; accord; concord; fit_in; agree] go together (The colors don't harmonize | Their ideas concorded)
selected.20	agree	agree.v.05	1	verb	[agree] show grammatical agreement (Subjects and verbs must always agree in English)
selected.21	agree	agree.v.06	1	verb	[agree] be agreeable or suitable (White wine doesn't agree with me)
selected.22	agree	agree.v.07	0	verb	[agree] achieve harmony of opinion, feeling, or purpose (No two of my colleagues would agree on whom to elect chairman)
selected.23	alive	alive.a.01	0	adj	[alive; live] possessing life (the happiest person alive | the nerve is alive | doctors are working hard to keep him alive | burned alive | a live canary)
selected.24	alive	alive.s.02	1	adj	[alive] (often followed by `with') full of life and spirit (she was wonderfully alive for her age | a face alive with mischief)
selected.25	alive	animated.a.01	1	adj	[animated; alive] having life or vigor or spirit (an animated and expressive face | animated conversation | became very animated when he heard the good news)
selected.26	alive	alive.s.04	1	adj	[alive] (followed by `to' or `of') aware of (is alive to the moods of others)
selected.27	alive	active.s.08	1	adj	[active; alive] in operation (keep hope alive | the tradition was still alive | an active tradition)
selected.28	alive	alert.s.03	1	adj	[alert; alive; awake] mentally perceptive and responsive (an alert mind | alert to the problems | alive to what is going on | awake to the dangers of her situation | was now awake to the reality of his predicament)
selected.29	alive	alive.s.07	1	adj	[alive; live] capable of erupting (a live volcano | the volcano is very much alive)
selected.30	apart	apart.s.01	0	adj	[apart; isolated; obscure] remote and separate physically or socially; ; - W.H.Hudson (existed over the centuries as a world apart | preserved because they inhabited a place apart | tiny isolated villages remote from centers of civilization | an obscure village)
selected.31	apart	apart.s.02	1	adj	[apart] having characteristics not shared by others; - Vannever Bush (scientists felt they were a group apart)
selected.32	apart	apart.r.01	0	adv	[apart] separated or at a distance in place or position or time (These towns are many miles apart | stood with his legs apart | born two years apart)
selected.33	apart	apart.r.02	1	adv	[apart; aside] not taken into account or excluded from consideration (these problems apart, the country is doing well | all joking aside, I think you're crazy)
selected.34	apart	apart.r.03	0	adv	[apart] away from another or others (they grew apart over the years | kept apart from the group out of shyness | decided to live apart)
selected.35	apart	aside.r.05	1	adv	[aside; apart] placed or kept separate and distinct as for a purpose (had a feeling of being set apart | quality sets it apart | a day set aside for relaxing)
selected.36	apart	apart.r.05	0	adv	[apart] one from the other (people can't tell the twins apart)
selected.37	apart	apart.r.06	0	adv	[apart; asunder] into parts or pieces (he took his father's watch apart | split apart | torn asunder)
selected.38	ate	eat.v.01	0	verb	[eat] take in solid food (She was eating a banana | What did you eat for dinner last night?)
selected.39	ate	eat.v.02	0	verb	[eat] eat a meal; take a meal (We did not eat until 10 P.M. because there were so many phone calls | I didn't eat yet, so I gladly accept your invitation)
selected.40	ate	feed.v.06	0	verb	[feed; eat] take in food; used of animals only (This dog doesn't eat certain kinds of meat | What do whales eat?)
selected.41	ate	eat.v.04	1	verb	[eat; eat_on] worry or cause anxiety in a persistent way (What's eating you?)
selected.42	ate	consume.v.05	1	verb	[consume; eat_up; use_up; eat; deplete; exhaust; run_through; wipe_out] use up (resources or materials) (this car consumes a lot of gas | We exhausted our savings | They run through 20 bottles of wine a week)
selected.43	ate	corrode.v.01	1	verb	[corrode; eat; rust] cause to deteriorate due to the action of water, air, or an acid (The acid corroded the metal | The steady dripping of water rusted the metal stopper in the sink)
selected.44	attacked	attack.v.01	0	verb	[attack; assail] launch an attack or assault on; begin hostilities or start warfare with (Hitler attacked Poland on September 1, 1939 and started World War II | Serbian forces assailed Bosnian towns all week)
selected.45	attacked	attack.v.02	1	verb	[attack; round; assail; lash_out; snipe; assault] attack in speech or writing (The editors of the left-leaning paper attacked the new House Speaker)
selected.46	attacked	attack.v.03	0	verb	[attack; aggress] take the initiative and go on the offensive (The Serbs attacked the village at night | The visiting team started to attack)
selected.47	attacked	assail.v.01		verb	[assail; assault; set_on; attack] attack someone physically or emotionally (The mugger assaulted the woman | Nightmares assailed him regularly)
selected.48	attacked	attack.v.05	1	verb	[attack] set to work upon; turn one's energies vigorously to a task (I attacked the problem as soon as I got out of bed)
selected.49	attacked	attack.v.06	1	verb	[attack] begin to injure (The cancer cells are attacking his liver | Rust is attacking the metal)
selected.50	backbone	anchor.n.02	1	noun	[anchor; mainstay; keystone; backbone; linchpin; lynchpin] a central cohesive source of support and stability (faith is his anchor | the keystone of campaign reform was the ban on soft money | he is the linchpin of this firm)
selected.51	backbone	backbone.n.02	1	noun	[backbone; grit; guts; moxie; sand; gumption] fortitude and determination (he didn't have the guts to try it)
selected.52	backbone	spinal_column.n.01	0	noun	[spinal_column; vertebral_column; spine; backbone; back; rachis] the series of vertebrae forming the axis of the skeleton and protecting the spinal cord (the fall broke his back)
selected.53	backbone	spine.n.04	1	noun	[spine; backbone] the part of a book's cover that encloses the inner side of the book's pages and that faces outward when the book is shelved (the title and author were printed on the spine of the book)
selected.54	backbone	backbone.n.05	1	noun	[backbone] the part of a network that connects other networks together (the backbone is the part of a communication network that carries the heaviest traffic)
selected.55	baked	bake.v.01	0	verb	[bake] cook and make edible by putting in a hot oven (bake the potatoes)
selected.56	baked	bake.v.02	0	verb	[bake] prepare with dry heat in an oven (bake a cake)
selected.57	baked	broil.v.02	1	verb	[broil; bake] heat by a natural force (The sun broils the valley in the summer)
selected.58	baked	bake.v.04	1	verb	[bake; broil] be very hot, due to hot weather or exposure to the sun (The town was broiling in the sun | the tourists were baking in the heat)
selected.59	baked	adust.s.01	1	adj	[adust; baked; parched; scorched; sunbaked] dried out by heat or excessive exposure to sunlight (a vast desert all adust | land lying baked in the heat | parched soil | the earth was scorched and bare | sunbaked salt flats)
selected.60	baked	baked.s.02	0	adj	[baked] (bread and pastries) cooked by dry heat (as in an oven) (baked goods)
selected.61	bathing	bathing.n.01		noun	[bathing] immersing the body in water or sunshine ()
selected.62	bathing	washup.n.01	0	noun	[washup; bathing] the act of washing yourself (or another person) ()
selected.63	bathing	bathe.v.01	0	verb	[bathe] cleanse the entire body (bathe daily)
selected.64	bathing	bathe.v.02	1	verb	[bathe] suffuse with or as if with light (The room was bathed in sunlight)
selected.65	bathing	bathe.v.03	1	verb	[bathe; bath] clean one's body by immersion into water (The child should bathe every day)
selected.66	battle	battle.n.01	0	noun	[battle; conflict; fight; engagement] a hostile meeting of opposing military forces in the course of a war (Grant won a decisive victory in the battle of Chickamauga | he lost his romantic ideas about war when he got into a real engagement)
selected.67	battle	struggle.n.01	1	noun	[struggle; battle] an energetic attempt to achieve something (getting through the crowd was a real struggle | he fought a battle for recognition)
selected.68	battle	conflict.n.01	0	noun	[conflict; struggle; battle] an open clash between two opposing groups (or individuals); --Thomas Paine (the harder the conflict the more glorious the triumph | police tried to control the battle between the pro- and anti-abortion mobs)
selected.69	battle	battle.v.01		verb	[battle; combat] battle or contend against in or as if in a battle (The Kurds are combating Iraqi troops in Northern Iraq | We must combat the prejudices against other races | they battled over the budget)
selected.70	birth	birth.n.01		noun	[birth] the time when something begins (especially life) (they divorced after the birth of the child | his election signaled the birth of a new age)
selected.71	birth	birth.n.02	0	noun	[birth; nativity; nascency; nascence] the event of being born (they celebrated the birth of their first child)
selected.72	birth	parturition.n.01	0	noun	[parturition; birth; giving_birth; birthing] the process of giving birth ()
selected.73	birth	parentage.n.02	0	noun	[parentage; birth] the kinship relation of an offspring to the parents ()
selected.74	birth	birth.n.05	0	noun	[birth] a baby born; an offspring (the overall rate of incidence of Down's syndrome is one in every 800 births)
selected.75	birth	give_birth.v.01	0	verb	[give_birth; deliver; bear; birth; have] cause to be born (My wife had twins yesterday!)
selected.76	bloom	blooming.n.01	0	noun	[blooming; bloom] the organic process of bearing flowers (you will stop all bloom if you let the flowers go to seed)
selected.77	bloom	flower.n.02	0	noun	[flower; bloom; blossom] reproductive organ of angiosperm plants especially one having showy or colorful parts ()
selected.78	bloom	bloom.n.03	1	noun	[bloom; bloom_of_youth; salad_days] the best time of youth ()
selected.79	bloom	bloom.n.04	1	noun	[bloom; blush; flush; rosiness] a rosy color (especially in the cheeks) taken as a sign of good health ()
selected.80	bloom	flower.n.03	1	noun	[flower; prime; peak; heyday; bloom; blossom; efflorescence; flush] the period of greatest prosperity or productivity ()
selected.81	bloom	efflorescence.n.04	1	noun	[efflorescence; bloom] a powdery deposit on a surface ()
selected.82	bloom	bloom.v.01	0	verb	[bloom; blossom; flower] produce or yield flowers (The cherry tree bloomed)
selected.83	bought	buy.v.01	0	verb	[buy; purchase] obtain by purchase; acquire by means of a financial transaction (The family purchased a new car | The conglomerate acquired a new company | She buys for the big department store)
selected.84	bought	bribe.v.01	1	verb	[bribe; corrupt; buy; grease_one's_palms] make illegal payments to in exchange for favors or influence (This judge can be bought)
selected.85	bought	buy.v.03	0	verb	[buy] be worth or be capable of buying (This sum will buy you a ride on the train)
selected.86	bought	buy.v.04	1	verb	[buy] acquire by trade or sacrifice or exchange (She wanted to buy his love with her dedication to him and his work)
selected.87	bought	buy.v.05	1	verb	[buy] accept as true (I can't buy this story)
selected.88	breakdown	dislocation.n.02	1	noun	[dislocation; breakdown] the act of disrupting an established order so it fails to continue (the social dislocations resulting from government policies | his warning came after the breakdown of talks in London)
selected.89	breakdown	breakdown.n.02	1	noun	[breakdown; crack-up] a mental or physical breakdown ()
selected.90	breakdown	breakdown.n.03	0	noun	[breakdown; equipment_failure] a cessation of normal operation (there was a power breakdown)
selected.91	breakdown	breakdown.n.04	1	noun	[breakdown; partitioning] an analysis into mutually exclusive categories ()
selected.92	breathe	breathe.v.01	0	verb	[breathe; take_a_breath; respire; suspire] draw air into, and expel out of, the lungs (I can breathe better when the air is clean | The patient is respiring)
selected.93	breathe	breathe.v.02	0	verb	[breathe] be alive (Every creature that breathes)
selected.94	breathe	breathe.v.03	1	verb	[breathe] impart as if by breathing (He breathed new life into the old house)
selected.95	breathe	breathe.v.04	1	verb	[breathe] allow the passage of air through (Our new synthetic fabric breathes and is perfect for summer wear)
selected.96	breathe	breathe.v.05	1	verb	[breathe] utter or tell (not breathe a word)
selected.97	breathe	breathe.v.06	1	verb	[breathe] manifest or evince (She breathes the Christian spirit)
selected.98	breathe	rest.v.02	1	verb	[rest; breathe; catch_one's_breath; take_a_breather] take a short break from one's activities in order to relax ()
selected.99	breathe	breathe.v.08	1	verb	[breathe] reach full flavor by absorbing air and being let to stand after having been uncorked (This rare Bordeaux must be allowed to breathe for at least 2 hours)
selected.100	breathe	emit.v.01	1	verb	[emit; breathe; pass_off] expel (gases or odors) ()
selected.101	budding	budding.n.01	1	noun	[budding] reproduction of some unicellular organisms (such as yeasts) by growth and specialization followed by the separation by constriction of a part of the parent ()
selected.102	budding	bud.v.01	0	verb	[bud] develop buds (The hibiscus is budding!)
selected.103	budding	bud.v.02	1	verb	[bud] start to grow or develop (a budding friendship)
selected.104	budding	budding.s.01	1	adj	[budding] beginning to develop (a budding genius)
selected.105	buy	bargain.n.02	0	noun	[bargain; buy; steal] an advantageous purchase (she got a bargain at the auction | the stock was a real buy at that price)
selected.106	buy	buy.v.01	0	verb	[buy; purchase] obtain by purchase; acquire by means of a financial transaction (The family purchased a new car | The conglomerate acquired a new company | She buys for the big department store)
selected.107	buy	bribe.v.01	1	verb	[bribe; corrupt; buy; grease_one's_palms] make illegal payments to in exchange for favors or influence (This judge can be bought)
selected.108	buy	buy.v.03	0	verb	[buy] be worth or be capable of buying (This sum will buy you a ride on the train)
selected.109	buy	buy.v.04	1	verb	[buy] acquire by trade or sacrifice or exchange (She wanted to buy his love with her dedication to him and his work)
selected.110	buy	buy.v.05	1	verb	[buy] accept as true (I can't buy this story)
selected.111	chicken	chicken.n.01	0	noun	[chicken; poulet; volaille] the flesh of a chicken used for food ()
selected.112	chicken	chicken.n.02	0	noun	[chicken; Gallus_gallus] a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl ()
selected.113	chicken	wimp.n.01	1	noun	[wimp; chicken; crybaby] a person who lacks confidence, is irresolute and wishy-washy ()
selected.114	chicken	chicken.n.04	1	noun	[chicken] a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops ()
selected.115	chicken	chicken.s.01	1	adj	[chicken; chickenhearted; lily-livered; white-livered; yellow; yellow-bellied] easily frightened ()
selected.116	climb	ascent.n.01	1	noun	[ascent; acclivity; rise; raise; climb; upgrade] an upward slope or grade (as in a road) (the car couldn't make it up the rise)
selected.117	climb	climb.n.02		noun	[climb; climbing; mounting] an event that involves rising to a higher point (as in altitude or temperature or intensity etc.) ()
selected.118	climb	climb.n.03	0	noun	[climb; mount] the act of climbing something (it was a difficult climb to the top)
selected.119	climb	climb.v.01	0	verb	[climb; climb_up; mount; go_up] go upward with gradual or continuous progress (Did you ever climb up the hill behind your house?)
selected.120	climb	climb.v.02	0	verb	[climb] move with difficulty, by grasping ()
selected.121	climb	wax.v.02	1	verb	[wax; mount; climb; rise] go up or advance (Sales were climbing after prices were lowered)
selected.122	climb	climb.v.04	1	verb	[climb] slope upward (The path climbed all the way to the top of the hill)
selected.123	climb	climb.v.05	1	verb	[climb] improve one's social status (This young man knows how to climb the social ladder)
selected.124	climb	rise.v.02	1	verb	[rise; go_up; climb] increase in value or to a higher point (prices climbed steeply | the value of our house rose sharply last year)
