datapoint_id	word	sense	metaphor	pos	definition
random.0	medallion	medallion.n.01	0	noun	[medallion] any of various large ancient Greek coins ()
random.1	medallion	medallion.n.02	1	noun	[medallion] a circular helping of food (especially a boneless cut of meat) (medallions of veal)
random.2	medallion	medallion.n.03	1	noun	[medallion] an emblem indicating that a taxicab is registered ()
random.3	medallion	decoration.n.02	1	noun	[decoration; laurel_wreath; medal; medallion; palm; ribbon] an award for winning a championship or commemorating some other event ()
random.4	splat	splat.n.01	0	noun	[splat] a single splash (he heard a splat as it hit the floor)
random.5	splat	splat.n.02	0	noun	[splat] a slat of wood in the middle of the back of a straight chair ()
random.6	splat	splat.v.01	0	verb	[splat] give off the sound of a bullet flattening on impact ()
random.7	splat	splat.v.02	0	verb	[splat] split open and flatten for cooking (splat fish over an open fire)
random.8	splat	splat.v.03	0	verb	[splat] flatten on impact (The snowballs splatted on the trees)
random.9	positiveness	positivity.n.01	0	noun	[positivity; positiveness] the character of the positive electric pole ()
random.10	positiveness	positivity.n.02	0	noun	[positivity; positiveness; positivism] a quality or state characterized by certainty or acceptance or affirmation and dogmatic assertiveness ()
random.11	positiveness	favorableness.n.01	1	noun	[favorableness; favourableness; advantageousness; positivity; positiveness; profitableness] the quality of being encouraging or promising of a successful outcome ()
random.12	positiveness	positivity.n.04	0	noun	[positivity; positiveness] an amount greater than zero ()
random.13	positiveness	incontrovertibility.n.01	0	noun	[incontrovertibility; incontrovertibleness; positivity; positiveness] the quality of being undeniable and not worth arguing about ()
random.14	convoluted	convolve.v.01	0	verb	[convolve; convolute] curl, wind, or twist together ()
random.15	convoluted	twist.v.09	1	verb	[twist; twist_around; pervert; convolute; sophisticate] practice sophistry; change the meaning of or be vague about in order to mislead or deceive (Don't twist my words)
random.16	convoluted	convolute.s.01	0	adj	[convolute; convoluted] rolled longitudinally upon itself (a convolute petal)
random.17	convoluted	byzantine.s.03	1	adj	[Byzantine; convoluted; involved; knotty; tangled; tortuous] highly complex or intricate and occasionally devious; ; ; ; ; ; ; ; - Sir Walter Scott (the Byzantine tax structure | Byzantine methods for holding on to his chairmanship | convoluted legal language | convoluted reasoning | the plot was too involved | a knotty problem | got his way by labyrinthine maneuvering | Oh, what a tangled web we weave | tortuous legal procedures | tortuous negotiations lasting for months)
random.18	run_out	run_out.v.01	1	verb	[run_out] become used up; be exhausted (Our supplies finally ran out)
random.19	run_out	drain.v.01	0	verb	[drain; run_out] flow off gradually (The rain water drains into this big vat)
random.20	run_out	run_off.v.02	0	verb	[run_off; run_out; bolt; bolt_out; beetle_off] leave suddenly and as if in a hurry (The listeners bolted when he discussed his strange ideas | When she started to tell silly stories, I ran out)
random.21	run_out	run_out.v.04	1	verb	[run_out; expire] lose validity (My passports expired last month)
random.22	run_out	spill.v.02	0	verb	[spill; run_out] flow, run or fall out and become lost (The milk spilled across the floor | The wine spilled onto the table)
random.23	run_out	run_out.v.06	1	verb	[run_out] exhaust the supply of (We ran out of time just as the discussion was getting interesting)
random.24	run_out	fail.v.10	1	verb	[fail; run_out; give_out] prove insufficient (The water supply for the town failed after a long drought)
random.25	run_out	poop_out.v.01	1	verb	[poop_out; peter_out; run_down; run_out; conk_out] use up all one's strength and energy and stop working (At the end of the march, I pooped out)
random.26	billet	note.n.02	0	noun	[note; short_letter; line; billet] a short personal letter (drop me a line when you get there)
random.27	billet	billet.n.02	0	noun	[billet] lodging for military personnel (especially in a private home) ()
random.28	billet	position.n.06	1	noun	[position; post; berth; office; spot; billet; place; situation] a job in an organization (he occupied a post in the treasury)
random.29	billet	quarter.v.01	0	verb	[quarter; billet; canton] provide housing for (military personnel) ()
random.30	toggle	toggle.n.01	0	noun	[toggle] any instruction that works first one way and then the other; it turns something on the first time it is used and then turns it off the next time ()
random.31	toggle	toggle_switch.n.01	0	noun	[toggle_switch; toggle; on-off_switch; on/off_switch] a hinged switch that can assume either of two positions ()
random.32	toggle	toggle.n.03	0	noun	[toggle] a fastener consisting of a peg or pin or crosspiece that is inserted into an eye at the end of a rope or a chain or a cable in order to fasten it to something (as another rope or chain or cable) ()
random.33	toggle	toggle.v.01	0	verb	[toggle] provide with a toggle or toggles ()
random.34	toggle	toggle.v.02	0	verb	[toggle] fasten with, or as if with, a toggle ()
random.35	toggle	toggle.v.03	0	verb	[toggle] release by a toggle switch (toggle a bomb from an airplane)
random.36	naturalization	naturalization.n.01	0	noun	[naturalization; naturalisation] the quality of being brought into conformity with nature ()
random.37	naturalization	naturalization.n.02	1	noun	[naturalization; naturalisation] the proceeding whereby a foreigner is granted citizenship ()
random.38	naturalization	naturalization.n.03	0	noun	[naturalization; naturalisation] the introduction of animals or plants to places where they flourish but are not indigenous ()
random.39	naturalization	naturalization.n.04	1	noun	[naturalization; naturalisation] changing the pronunciation of a borrowed word to agree with the borrowers' phonology (the naturalization in English of many Italian words)
random.40	black_out	black_out.v.01	1	verb	[black_out] obliterate or extinguish (Some life-forms were obliterated by the radiation, others survived)
random.41	black_out	black_out.v.02	0	verb	[black_out; blacken_out] darken completely (The dining room blackened out)
random.42	black_out	black_out.v.03	1	verb	[black_out] suppress by censorship as for political reasons (parts of the newspaper article were blacked out)
random.43	black_out	zonk_out.v.01	1	verb	[zonk_out; pass_out; black_out] lose consciousness due to a sudden trauma, for example ()
random.44	mug	mug.n.01	0	noun	[mug; mugful] the quantity that can be held in a mug ()
random.45	mug	chump.n.01	1	noun	[chump; fool; gull; mark; patsy; fall_guy; sucker; soft_touch; mug] a person who is gullible and easy to take advantage of ()
random.46	mug	countenance.n.03	1	noun	[countenance; physiognomy; phiz; visage; kisser; smiler; mug] the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British) ()
random.47	mug	mug.n.04	0	noun	[mug] with handle and usually cylindrical ()
random.48	mug	mug.v.01	1	verb	[mug] rob at gunpoint or with the threat of violence (I was mugged in the streets of New York last night)
random.49	hugger-mugger	hugger-mugger.n.01	0	noun	[hugger-mugger] a state of confusion (he engaged in the hugger-mugger of international finance)
random.50	hugger-mugger	disorderly.s.02	0	adj	[disorderly; higgledy-piggledy; hugger-mugger; jumbled; topsy-turvy] in utter disorder (a disorderly pile of clothes)
random.51	hugger-mugger	clandestine.s.01	0	adj	[clandestine; cloak-and-dagger; hole-and-corner; hugger-mugger; hush-hush; secret; surreptitious; undercover; underground] conducted with or marked by hidden aims or methods (clandestine intelligence operations | cloak-and-dagger activities behind enemy lines | hole-and-corner intrigue | secret missions | a secret agent | secret sales of arms | surreptitious mobilization of troops | an undercover investigation | underground resistance)
random.52	hugger-mugger	hugger-mugger.r.01	0	adv	[hugger-mugger] in secrecy (they did it all hugger-mugger)
random.53	perturb	perturb.v.01	1	verb	[perturb; unhinge; disquiet; trouble; cark; distract; disorder] disturb in mind or make uneasy or cause to be worried or alarmed (She was rather perturbed by the news that her father was seriously ill)
random.54	perturb	perturb.v.02	0	verb	[perturb] disturb or interfere with the usual path of an electron or atom (The electrons were perturbed by the passing ion)
random.55	perturb	perturb.v.03	0	verb	[perturb] cause a celestial body to deviate from a theoretically regular orbital motion, especially as a result of interposed or extraordinary gravitational pull (The orbits of these stars were perturbed by the passings of a comet)
random.56	perturb	perturb.v.04	1	verb	[perturb; derange; throw_out_of_kilter] throw into great confusion or disorder (Fundamental Islamicists threaten to perturb the social order in Algeria and Egypt)
random.57	incompetent	incompetent.n.01	0	noun	[incompetent; incompetent_person] someone who is not competent to take effective action ()
random.58	incompetent	incompetent.a.01	0	adj	[incompetent; unqualified] legally not qualified or sufficient (a wife is usually considered unqualified to testify against her husband | incompetent witnesses)
random.59	incompetent	incompetent.a.02	0	adj	[incompetent] not qualified or suited for a purpose (an incompetent secret service | the filming was hopeless incompetent)
random.60	incompetent	bungling.s.01	0	adj	[bungling; clumsy; fumbling; incompetent] showing lack of skill or aptitude (a bungling workman | did a clumsy job | his fumbling attempt to put up a shelf)
random.61	incompetent	incompetent.s.04	0	adj	[incompetent; unskilled] not doing a good job (incompetent at chess)
random.62	incompetent	incapable.s.04	0	adj	[incapable; incompetent; unequal_to] not meeting requirements (unequal to the demands put upon him)
random.63	calcify	calcify.v.01	0	verb	[calcify] become impregnated with calcium salts ()
random.64	calcify	calcify.v.02	1	verb	[calcify] become inflexible and unchanging (Old folks can calcify)
random.65	calcify	calcify.v.03	0	verb	[calcify] turn into lime; become calcified (The rock calcified over the centuries)
random.66	calcify	calcify.v.04	0	verb	[calcify] convert into lime (the salts calcified the rock)
random.67	steamer	soft-shell_clam.n.01	0	noun	[soft-shell_clam; steamer; steamer_clam; long-neck_clam] a clam that is usually steamed in the shell ()
random.68	steamer	steamer.n.02	0	noun	[steamer] a cooking utensil that can be used to cook food by steaming it ()
random.69	steamer	steamer.n.03	0	noun	[steamer; steamship] a ship powered by one or more steam engines ()
random.70	steamer	soft-shell_clam.n.02	0	noun	[soft-shell_clam; steamer; steamer_clam; long-neck_clam; Mya_arenaria] an edible clam with thin oval-shaped shell found in coastal regions of the United States and Europe ()
random.71	steamer	steamer.v.01	0	verb	[steamer; steam] travel by means of steam power (The ship steamed off into the Pacific)
random.72	splice	splice.n.01	0	noun	[splice; splicing] a junction where two things (as paper or film or magnetic tape) have been joined together (the break was due to an imperfect splice)
random.73	splice	lap_joint.n.01	0	noun	[lap_joint; splice] joint made by overlapping two ends and joining them together ()
random.74	splice	splice.v.01	0	verb	[splice] join the ends of (splice film)
random.75	splice	marry.v.02	1	verb	[marry; wed; tie; splice] perform a marriage ceremony (The minister married us on Saturday | We were wed the following week | The couple got spliced on Hawaii)
random.76	splice	splice.v.03	1	verb	[splice] join together so as to form new genetic combinations (splice genes)
random.77	splice	splice.v.04	0	verb	[splice] join by interweaving strands (Splice the wires)
random.78	trumping	ruff.n.04	0	noun	[ruff; trumping] (card games) the act of taking a trick with a trump when unable to follow suit ()
random.79	trumping	trump.v.01	0	verb	[trump] produce a sound as if from a trumpet ()
random.80	trumping	outdo.v.02	1	verb	[outdo; outflank; trump; best; scoop] get the better of (the goal was to best the competition)
random.81	trumping	trump.v.03	0	verb	[trump; ruff] play a trump ()
random.82	trumping	trump.v.04	1	verb	[trump; trump_out] proclaim or announce with or as if with a fanfare ()
random.83	cutter	stonecutter.n.01	0	noun	[stonecutter; cutter] someone who cuts or carves stone ()
random.84	cutter	cutter.n.02	0	noun	[cutter; carver] someone who carves the meat ()
random.85	cutter	cutter.n.03	0	noun	[cutter] someone whose work is cutting (as e.g. cutting cloth for garments) ()
random.86	cutter	tender.n.05	1	noun	[tender; ship's_boat; pinnace; cutter] a boat for communication between ship and shore ()
random.87	cutter	cutter.n.05	1	noun	[cutter] a sailing vessel with a single mast set further back than the mast of a sloop ()
random.88	cutter	cutter.n.06	0	noun	[cutter; cutlery; cutting_tool] a cutting implement; a tool for cutting ()
random.89	crystalize	clear.v.10	1	verb	[clear; clear_up; shed_light_on; crystallize; crystallise; crystalize; crystalise; straighten_out; sort_out; enlighten; illuminate; elucidate] make free from confusion or ambiguity; make clear (Could you clarify these remarks? | Clear up the question of who is at fault)
random.90	crystalize	crystallize.v.03	0	verb	[crystallize; crystallise; crystalize; crystalise] cause to form crystals or assume crystalline form (crystallize minerals)
random.91	crystalize	crystallize.v.04	0	verb	[crystallize; crystalize; crystalise; effloresce] assume crystalline form; become crystallized ()
random.92	crystalize	crystallize.v.01	1	verb	[crystallize; crystallise; crystalise; crystalize] cause to take on a definite and clear shape (He tried to crystallize his thoughts)
random.93	canter	canter.n.01	0	noun	[canter; lope] a smooth three-beat gait; between a trot and a gallop ()
random.94	canter	canter.v.01	0	verb	[canter] ride at a canter (The men cantered away)
random.95	canter	canter.v.02	0	verb	[canter] go at a canter, of horses ()
random.96	canter	canter.v.03	0	verb	[canter] ride at a cantering pace (He cantered the horse across the meadow)
random.97	grit	grit.n.01	0	noun	[grit; gritrock; gritstone] a hard coarse-grained siliceous sandstone ()
random.98	grit	backbone.n.02	1	noun	[backbone; grit; guts; moxie; sand; gumption] fortitude and determination (he didn't have the guts to try it)
random.99	grit	grit.v.01	0	verb	[grit] cover with a grit (grit roads)
random.100	grit	grit.v.02	1	verb	[grit] clench together (grit one's teeth)
random.101	plait	braid.n.01	0	noun	[braid; plait; tress; twist] a hairdo formed by braiding or twisting the hair ()
